keywords,year,_description,_title,_artists,_material,_dimensions,_inventory_number,_realyear,id
"Porträtt,svensk,man",1780,"Porträttet av Marie Antoinette med barn i Trianons park var hennes gåva till Gustav III, som själv hade valt konstnären. Detta var kungens sätt att lansera Wertmüller i Paris. När porträttet ställdes ut på Salongen 1785 blev det inte väl mottaget och modellen undrade ”Vad nu! Skall detta vara jag?” Kritikerna ansåg att man inte kunde visa en drottning med huvudet på sned. Wertmüller tvingades justera porträttet innan det skeppades till Sverige.","Drottning Marie Antoinette av Frankrike med två av sina barn promenerande i Trianons park","Adolf Ulrik Wertmüller","Olja på duk","Mått 276 x 194 cm","NM 1032",1785,18035
"Religion/Mytologi,svensk,man",1780,,"Amor som Bacchus","Adolf Ulrik Wertmüller","Olja på duk","Mått 103 x 83 cm","NM 1033",1784,18036
"Religion/Mytologi,svensk,man",1780,,"Ariadne liggande på stranden av ön Naxos","Adolf Ulrik Wertmüller","Olja på duk","Mått 129 x 162 cm","NM 1034",1783,18037
"Religion/Mytologi,svensk,man",1780,"Den övergivna kungadottern Ariadne på ön Naxos, har av kärlek till Theseus räddat honom från odjuret Minotaurus. Målningen blev 1783 svensken Adolf Ulrik Wertmüllers genombrott i Paris och speglar det sena 1700-talets sentimentala klassicism. De tårfyllda ögonen påminner samtidigt om arvet från 1600-talsmålaren Guido Reni. Målningen beställdes av ambassadören Gustaf Philip Creutz, fördes hem i hans resvagn och överlämnades till Gustav III.","Studie för Ariadne på Naxos","Adolf Ulrik Wertmüller","Olja på duk","Mått 73,5 x 59 cm","NM 1035",1783,18038
"Religion/Mytologi,svensk,man",1860,,"Loke och Sigyn","Mårten Winge","Olja på duk 
","Mått 348 x 275 cm","NM 1038",1863,18041
"Scen,svensk,man",1860,,"Målare på studieresa","Peter Eskilson","Olja på duk","Mått 36 x 46 cm","NM 1050",1867,18053
"Landskap,svensk,man",1860,,"I skogen","Edvard Bergh","Olja på duk","Mått 140 x 121 cm","NM 1054",1868,18057
"Scen,svensk,man",1860,,"Kägelspelet hos Faggens. Scen ur Fredmans epistel 55","Peter Eskilson","Olja på duk","Mått 50 x 65 cm","NM 1055",1868,18058
"Scen,man",1860,,Hushållsbestyr,"Anders Gustaf Koskull","Olja på duk","Mått 46 x 56 cm","NM 1057",1866,18060
"Landskap,svensk,man",1860,,"Skånskt vårlandskap","Gustaf Rydberg","Olja på duk","Mått 46 x 64 cm","NM 1059",1868,18062
"Religion/Mytologi,holländsk,man",1640,"Berättelsen är hämtad ur Första Moseboken i Bibeln. För att pröva Abrahams tro sa Gud åt honom att offra sin son Isak. När allt var förberett för brännoffret lade Abraham Isak på bålet och fattade kniven. Då ropade en ängel åt honom att inte göra Isak illa – Abraham hade klarat provet. Det gudomliga ingripandet representeras av ett strålande ljus som tränger igenom röken från det tända offerbålet.","Abrahams offer","Salomon de Bray","Olja på ek","Mått 57 x 48 cm","NM 1069",1647,18072
"Landskap,holländsk,man,holländsk,man",1640,,"Landskap med vadställe","Jan Both (Konstnär), Jan Both (Tidigare attribution)","Olja på duk","Mått 70,7 x 88,8 cm","NM 1071",1645,18074
"Porträtt,fransk,man",1640,,"Drottning Kristina","Sébastien Bourdon","Olja på duk","Mått 72 x 58 cm","NM 1072",1653,18075
"Religion/Mytologi,tysk,man",1520,"Budbäraren Merkurius, en av Olympens gudar, bär en merkuriestav, bevingad hjälm och sandaler. Målningen prydde sannolikt skåpet till ett astronomiskt ur. Merkurius symboliserade där en av den antika kosmologins sju himlakroppar, som ansågs påverka människors personlighet. Lejonet som betraktar sin spegelbild kan symbolisera det koleriska temperamentet, kanske också det astrologiska stjärntecknet tvillingarna. De långsträckta proportionerna är typiska för 1500-talets manieristiska måleri.",Merkurius,"Hans Baldung Grien","Olja på lind","Mått 194 x 64 cm","NM 1073",1530,18076
"Religion/Mytologi,tysk,man",1520,"Enligt romersk historietradition var Lucretia en adelsdam som, på grund av sin skönhet, våldtogs av en av kungens söner. Skammen gjorde att hon tog sitt liv. Händelsen utlöste en revolt som ledde till att den romerska republiken infördes. Cranach d.ä. behandlade motivet många gånger. Den sensuellt skildrade Lucretia framstår som både lockerska och moraliserande. Målningen har ägts av Gustav Vasa.",Lucretia,"Lucas Cranach d.ä.","Olja på trä","Mått 57 x 38 cm","NM 1080",1528,18083
"Landskap,tysk,man",1660,,"Hjortar i ett klipplandskap","Carl Ruthart","Olja på duk monterad på trä","Mått 67 x 53,5 cm","NM 1083",1665,18086
"Religion/Mytologi,svensk,man",1840,,"Knäböjande pilgrim","Egron Lundgren","Olja på papper monterad på duk","Mått 47 x 36 cm","NM 1087",1845,18090
"Porträtt,svensk,man",1840,"Ett populärt motiv från Italien var kvinnor som spinner lin. Motivet erbjöd konstnärerna särskilt goda möjligheter att skapa en elegant komposition, med armen och handen, som känsligt håller i tråden.  Detta löstes på mer eller mindre raffinerade sätt. Kvinnan sitter i en nisch på ett stenblock, vilket placerar henne i den antika romerska miljön.","Italiensk kvinna som spinner lin","Uno Troili","Olja på duk","Mått 97 x 74 cm","NM 1097",1847,18100
"Stilleben,flamländsk,man",1620,"Se även beskrivning i den engelska versionen","Stilleben med blomstervas och insekter","Jan Bruegel d.ä.","Olja på ek","Mått 73 x 59 cm","NM 1099",1620,18102
"Religion/Mytologi,italiensk,man",1600,"Judit var en judisk änka, som med Guds hjälp befriade den belägrade staden Betylua och därmed räddade sitt folk. Bibeln berättar hur hon halshögg Holofernes, den babyloniske kungens general. Tillsammans med sin tjänstekvinna Abra lägger Judit fältherrens huvud i en korg. Facklans sken modellerar fram figurerna ur mörkret och skapar en spänningsfylld atmosfär. Gramaticas idealiserade hjältinna kan ses som en symbol för det judiska folket i exil.","Judith med Holofernes huvud","Antiveduto Gramatica","Olja på duk","Mått 120 x 93 cm","NM 11",1610,17322
"Scen,svensk,man",1860,,"Skeppet Öland i strid med engelska örlogsfartyg år 1704","Albert Berg","Olja på duk","Mått 147 x 221 cm","NM 1114",1870,18117
"Porträtt, Barn, Scen,holländsk,kvinna",1620,"Målningen av en flöjtspelande pojke försjunken i sitt musicerande präglas av en stark realism. Är detta en scen ur vardagslivet? En allegori över Hörseln, ett av de fem sinnena? Leysters flyhänta penselföring parad med pojkens ostadiga pose där han sitter lutad mot stolens trasiga ryggstöd bidrar till att ge intryck av en ögonblicksbild. Som den flyktigaste av alla konstarter förknippades musik med både lusta och förgänglighet.","Flöjtspelande pojke","Judith Leyster","Olja på duk","Mått 73 x 62 cm","NM 1120",1630,18123
"Religion/Mytologi,svensk,man",1760,,"Caritas Romana. Allegori över kärleken","Carl Gustav Pilo","Olja på duk","Mått 171 x 123 cm","NM 1122",1772,18125
"Landskap,tysk,man",1820,,"Harjakt i bokskog","Christian Ezdorf","Olja på duk monterad på masonit","Mått 70 x 82 cm","NM 1127",1826,18130
"Porträtt,svensk,man",1780,,Självporträtt,"Adolf Ulrik Wertmüller","Olja på duk. Oval","Mått 62 x 53 cm","NM 1129",1795,18132
"Religion/Mytologi,nederländsk",1560,,"Landskap med den heliga familjen","Gillis Mostaert d.ä.","Olja på trä","Mått 21 x 34 cm","NM 1131",1573,18134
"Landskap,fransk,man",1800,,"Berglandskap med vattenfall","Louis Belanger","Olja på duk","Mått 93 x 71 cm","NM 1135",1803,18138
"Landskap,fransk,man",1800,,"Berglandskap med lantgård","Louis Belanger","Olja på duk","Mått 93 x 71 cm","NM 1136",1803,18139
"Porträtt,fransk,man",1720,"Nattier blev medlem av den franska kungliga konstakademin i egenskap av historiemålare, men hans styrka visade sig snart vara porträttkonst. Detta porträtt köptes av Carl Gustaf Tessin under hans tid som Sveriges ambassadör i Paris 1739–1742. Markisinnan var vän med Tessins hustru och verket var en gåva som symbol för vänskapen. Elisabeth de Boullongne, markisinnan de l’Hôpital, hörde till det franska hovet.","Élisabeth-Louise de Boullogne, markisinna de l’Hôpital","Jean-Marc Nattier","Olja på duk","Mått 81 x 64 cm","NM 1141",1739,18144
"Porträtt,fransk,man",1740,"Vid den tid då detta vänporträtt utfördes hade det ottomanska riket skickat en ambassadör till Paris, Det hade lett till ett mode inspirerat av landets stil och sedvänjor, ”mode à la turque”. Markisinnan, som var vän med Carl Gustaf Tessins hustru, ville porträtteras ”förklädd” i enlighet med detta. Tessin ordnade lånet av vad man uppfattade som en sultaninnas dräkt från den framstående skådespelaren Charles-François Racot de Grandval.","Markisinnan de Broglie som sultaninna","Jean-Marc Nattier","Olja på duk","Mått 81 x 63 cm","NM 1142",1742,18145
"Stilleben,flamländsk,man",1620,"Dyrbara matvaror som lagrad ost, citrusfrukter, vitt bröd, kött och vin ingick i de högre samhällsklassernas mathållning, och det exklusiva blåvita porslinet visar på handelsförbindelser med Kina. Motivet har tolkats som en moraliserande uppmaning att iaktta måtta vad gäller livets goda. Det är också en uppvisning av Jacob Fopsen van Es illusionistiska måleriteknik.","Frukoststycke med ost och pokaler","Jacob Fopsen van Es","Olja på ek","Mått 50 x 84 cm","NM 1146",1630,18149
"Porträtt,svensk,man",1780,,"Carl Michael Bellman","Pehr Hilleström d.ä.","Olja på duk","Mått 40 x 34 cm","NM 1148",1781,18151
"Scen,holländsk,man",1660,"Toussaint Gelton var en holländsk konstnär som arbetade i Sverige under några år på 1660-talet. Hans målningar var ofta, som här, små och utförda med fint penselarbete på kopparplåt. Bilden vill ge en illusion av att vi ser in genom en välvd fönsteröppning i en mur. Rummet innanför lyses upp av ett ensamt ljus som mannen just har tagit ur staken för att se bättre. Han lyfter blicken från skrivpulpeten och ser ut mot oss i mörkret. Illusionen förstärks av skuggornas spel i muröppningen.","Yngling skrivande vid ett ljus","Toussaint Gelton","Olja på koppar","Mått 39 x 30 cm","NM 1150",1663,18153
"Scen,svensk,man",1800,,"Interiör av en småländsk bondstuga. Motstycke till NM 1151","Pehr Hörberg","Olja på trä","Mått 27 x 39 cm","NM 1152",1801,18155
"Religion/Mytologi,holländsk,man",1640,"Caesar van Everdingen var en av de mest anlitade historiemålarna i Holland, med många offentliga uppdrag, till exempel orgelluckorna i Alkmaars Grote Kerk och flera målningar för Oranjezaal i Huis ten Bosch i Haag. 1655–1656 ledde han Haarlemgillet. Jupiter och Callisto är ett utmärkt exempel på den svala klassicism som blev populär i Haarlem och Amsterdam i mitten av 1600-talet. Jupiter presenteras här som gudarnas krönte kung, med örnen som attribut. Kvinnan är nymfen Callisto, Dianas favorit. När Callisto vilade ut efter en jakt, närmade sig Jupiter, förklädd till Diana, den blyga nymfen och sa: ""Käraste vän, var har du jagat?"" Hon steg upp från marken och började berätta om sina jaktäventyr. Jupiter tvingade sig då på Callisto, våldtog henne och gjorde henne gravid. Trots att Callisto gjorde motstånd blev Diana så upprörd när hon hörde om händelsen att hon förvandlade nymfen till en björn och satte hundarna på henne. I målningen är Jupiter inte förklädd som i berättelsen. Det enda tecknet på förklädnad är Dianas mask högst upp till vänster. Masken är en symbol för förställning och förräderi. Den lilla putto som håller masken, gör en obscen gest med andra handen. Konstnären leker med betraktaren. Tanken är att vi ska förstå Jupiters avsikter, medan Callisto inte anar något. Bara hennes hund vädrar oroligt i luften.","Jupiter och Callisto","Cesar Boetius van Everdingen","Olja på duk","Mått 165 x 193 cm","NM 1157",1655,18160
"Porträtt,svensk,kvinna",1840,,"Marie Dietsch","Sophie Adlersparre","Olja på duk","Mått 64 x 54 cm","NM 1172",1848,18175
"Landskap,holländsk,man",1660,,"Tyskt flodlandskap med stad","Gerrit Adriaensz Berckheyde","Olja på ek","Mått 37,9 x 49,4 cm","NM 1175",1660,18178
"Scen,holländsk,man",1620,,"Klippkust med fartyg och figurer","Adam Willaerts","Olja på ek","Mått 49,5 x 87,2 cm","NM 1180",1627,18183
"Porträtt,fransk,man",1740,"Den berömda skönheten Louise-Henriette de Bourbon-Conti, hertiginna av Chartres, är här ”förklädd” till Hebe, den eviga ungdomens gudinna. I skepnad av en örn dricker Jupiter nektar ur hennes bägare. Nattier var möjligen den förste som målade porträtt där denna populära förklädnad användes. De finns flera versioner av verket, men Nationalmuseums målning, första gången visad vid Salongen i Paris 1745, är den ursprungliga.","Hertiginnan av Chartres som Hebe","Jean-Marc Nattier","Olja på duk","Mått 131 x 105 cm","NM 1186",1744,18189
"Scen,svensk,man",1860,,"Sorundabönder på färd till Stockholm","Nils Andersson","Olja på duk","Mått 84 x 136 cm","NM 1190",1862,18193
"Porträtt,svensk,man",1860,,"Kung Erik Väderhatt","Oskar Leonard Anderson","Olja på duk","Mått 141 x 115 cm","NM 1191",1860,18194
"Religion/Mytologi,svensk,man",1840,,"Näcken och Ägirs döttrar","Nils Blommér","Olja på duk","Mått 114 x 147 cm","NM 1197",1850,18200
"Scen,svensk,man",1840,,"Polack föres tillfångatagen inför Karl X Gustav","Johan Christoffer Boklund","Olja på duk","Mått 64 x 75 cm","NM 1200",1859,18203
"Landskap,svensk,man",1860,,"Vinterlandskap från Drottning Kristinas väg på Djurgården","Kung Karl XV","Olja på duk","Mått 119 x 163 cm","NM 1202",1866,18205
"Scen,svensk,man",1860,,"Den tillfrisknande","Ferdinand Fagerlin","Olja på duk","Mått 45 x 51 cm","NM 1204",1867,18207
"Religion/Mytologi,italiensk,okänd",1500,"Se beskrivning i den engelska versionen.","Fortuna ridande på ett hjul",Okänd,"Olja på trä","Mått 85 x 64 cm","NM 121",1500,17070
"Landskap,svensk,man",1860,,Barrskogen,"Anders Kallenberg","Olja på duk","Mått 95 x 85 cm","NM 1211",1868,18214
"Scen,svensk,man",1840,,"Brinnande ångbåt","Marcus Larson","Olja på duk","Mått 148 x 199 cm","NM 1214",1858,18217
"Landskap,svensk,man",1840,,"Storm vid bohuslänska kusten","Marcus Larson","Olja på duk","Mått 40 x 52 cm","NM 1215",1857,18218
"Scen,finsk,man",1800,,"Kvinna med ett brinnande ljus. Motstycke till NM 1218","Alexander Lauréus","Olja på duk","Mått 33 x 25 cm","NM 1217",1818,18220
"Scen,finsk,man",1800,,"Kvinna med en brinnande lykta. Motstycke till NM 1217","Alexander Lauréus","Olja på duk","Mått 33 x 25 cm","NM 1218",1818,18221
"Religion/Mytologi,svensk,man",1840,"Katolicismen och dess riter fascinerade protestantiska nordbor på besök i Italien. Ämnet här är Corpus Christi, Kristi lekamens högtid, och ögonblicket då påven bärs runt i kolonnaden vid Petersplatsen. Mannen längst nere till vänster, som möter betraktarens blick, är konstnären Olof Södermark, som Lundgren umgicks med i Rom.","Procession vid Kristi Lekamens fest i Rom","Egron Lundgren","Olja på duk
","Mått 136 x 183 cm","NM 1220",1847,18223
"Religion/Mytologi,svensk,man",1840,"Målningen skildrar det ögonblick när hjältinnan i Orvar Odds saga tar emot sin fästmans ring efter att han stupat i strid. Ingeborgs hjärta ”brast då av sorg” och sedan placerades de två älskande i samma gravhög. I Nationalmuseums samlingar finns många exempel på att inte enbart krig och våld var i fokus för 1800-talets historiemåleri, utan även många kvinnoöden.","Ingeborg mottager av Orvar Odd underrättelsen om Hjalmars död","August Malmström","Olja på duk","Mått 181 x 143 cm","NM 1222",1859,18225
"Religion/Mytologi,svensk,man",1860,"Morgondimman sveper in över marken. Inom folktron kallas det för älvdans. Älvor ansågs vara naturväsen med främst onda krafter som kunde orsaka sjukdomar. August Malmström har målat dem som flickgestalter, några är tydligare och andra nästan löses upp i dimman. Att använda nordisk folktro som motiv var en strategi för att skapa en särskild nationell konst, mindre beroende av inflytande från exempelvis Frankrike.",Älvalek,"August Malmström","Olja på duk","Mått 90 x 149 cm","NM 1223",1866,18226
"Scen,svensk,man",1760,,Skomakarefamilj,"Carl Gustav Pilo","Olja på trä","Mått 54 x 42 cm","NM 1228",1772,18231
"Porträtt,svensk,man",1840,"Olof Södermark var en av de många militärer som sadlade om till konstnärsyrket efter att ha fått teckningsutbildning i det militära. Han vistades tre perioder i Italien, och Grazia målades under den sista. Det är egentligen inte ett porträtt, utan snarare en genrestudie i skönhet där konstnären sammanfattar sina intryck av den italienska konsten och folket.","Grazia, romersk modell","Olof Johan Södermark","Olja på duk","Mått 64 x 53 cm","NM 1232",1845,18235
"Religion/Mytologi,italiensk",1700,"Se beskrivning i den engelska versionen.","Madonnan med barnet på ett moln",Okänd,"Olja på duk","Mått 95 x 73 cm","NM 124",1700,17073
"Scen,svensk,man",1840,,"Gustav II Adolf vid Stuhm. Motstycke till NM 1242","Carl Wahlbom","Olja på duk","Mått 63 x 75 cm","NM 1241",1854,18244
"Scen,svensk,man",1840,,"Gustaf II Adolf återfinnes död efter slaget vid Lützen. Motstycke till  NM 1241","Carl Wahlbom","Olja på duk","Mått 63 x 75 cm","NM 1242",1855,18245
"Religion/Mytologi,svensk,man",1800,,Amor,"Fredric Westin","Olja på duk","Mått 177 x 119 cm","NM 1243",1807,18246
"Religion/Mytologi,svensk,man",1860,,Kraka,"Mårten Winge","Olja på duk","Mått 160 x 217 cm","NM 1247",1862,18250
"Religion/Mytologi,svensk,man",1860,,"Hjalmars avsked av Orvar Odd efter striden på Samsö","Mårten Winge","Olja på duk","Mått 169 x 208 cm","NM 1248",1866,18251
"Religion/Mytologi,svensk,man",1860,,"Olav Trygvason och Sigrid Storråda","Mårten Winge","Olja på duk","Mått 116 x 89 cm","NM 1249",1868,18252
"Religion/Mytologi,svensk,man",1860,"Enligt fornnordisk mytologi hörs blixt och dunder från himlen när asaguden Tor vredgas. Han far då fram i sin vagn, dragen av bockarna Tanngnjóstr och Tanngrisnir, i jakt på ondskan i form av jättar. I kampen mot dem svingar han sin hammare Mjölner och drar åt svångremmen på sitt kraftbälte Megingjord, vilket får hans styrka att växa. Psykologiskt sett är Tor rätt enkelt funtad, till skillnad från grubblaren Oden. Han dyrkades främst av bönder och trälar.   I Mårten Eskil Winges tolkning är Tor stark, blond, beslutsam och orädd. Målningen fick ett mycket positivt mottagande när den för första gången vi¬sades på Nationalmuseum år 1872. Intresset för den fornnordiska historien och gudavärlden låg i tiden. Winge var en av flera skandinaviska konstnärer som under 1870-talet målade asagudarna. Deras målningar och skulpturer präglar än i dag vår före¬ställning om vikingen och asaguden.   Winges samtid tolkade målningen som en allmän skildring av det godas kamp mot det onda. I modern tid har Tors strid med jättarna uppfattats som ett uttryck för nationalistiska eller fascistiska ideal. Den ljushårige Tor har setts som en försvarare av ett nordiskt ideal som hotas av de mörkhåriga jättarna. Svastikan på Tors kraftbälte har säkert bidragit till att målningen blivit populär hos olika högerextrema grupper. För Winge och hans samtid var svastikan en dekorativ och ålderdomlig symbol för solen. Den förekom i arkitektonisk utsmyckning och i olika logotyper.","Tors strid med jättarna","Mårten Winge","Olja på duk","Mått 484 x 333 cm","NM 1250",1872,18253
"Porträtt,svensk,man",1860,,"Dalkulla i Rättviksdräkt","Gottfrid Virgin","Olja på duk","Mått 139 x 90 cm","NM 1251",1861,18254
"Religion/Mytologi,norsk,man",1860,,Valkyria,"Peter Nicolai Arbo","Olja på duk","Mått 263 x 203 cm","NM 1252",1865,18255
"Landskap,norsk,man",1840,,"Månsken på norska kusten","Knud Baade","Olja på duk","Mått 142 x 130 cm","NM 1254",1857,18257
"Landskap,norsk,man",1840,,Sjöstycke,"Peder Balke","Olja på papp","Mått 35,4 x 44,8 x 0,4 cm","NM 1255",1849,18258
"Djur,norsk,man",1840,,"Död räv","Frants Diderik Böe","Olja på duk","Mått 77,5 x 63 cm","NM 1257",1848,18260
"Stilleben,norsk,man",1860,,Blomsterstycke,"Frants Diderik Böe","Olja på duk","Mått 41 x 50 cm","NM 1258",1867,18261
"Landskap,norsk,man",1860,,"Lledr Valley i Wales","Hans Fredrik Gude","Olja på duk","Mått 63 x 98 cm","NM 1266",1864,18269
"Stadsbild,tysk,man",1860,,"Gata i Hamburg, arkitekturstycke","Wilhelm von Hanno","Olja på trä","Mått 45 x 35 cm","NM 1268",1870,18271
"Landskap,norsk,man",1860,,Vinterlandskap,"Sophus Jacobsen","Olja på duk","Mått 81 x 122 cm","NM 1269",1870,18272
"Landskap,norsk,man",1840,,"Landskap, motiv från Telemarken","Gustaf Adolf Mordt","Olja på duk","Mått 69 x 96 cm","NM 1272",1850,18275
"Landskap,norsk,man",1860,,"Norskt berglandskap i aftonstämning","Morten Müller","Olja på duk","Mått 98 x 147 cm","NM 1275",1869,18278
"Porträtt,norsk,man",1840,,Spåkvinna,"Adolph Tidemand","Olja på duk","Mått 34 x 46 cm","NM 1277",1857,18280
"Scen,dansk,man",1860,,"Svenska krigsfartyg utanför Älvsborg","Carl Frederik Sørensen","Olja på duk","Mått 158 x 223 cm","NM 1282",1867,18285
"Scen,svensk,man",1860,,Epilog,"Gustaf Cederström","Olja på duk","Mått 139 x 194 cm","NM 1296",1874,18299
"Scen,svensk,man",1860,,"Bröllop i Värend","Bengt Nordenberg","Olja på duk","Mått 111 x 157 cm","NM 1297",1873,18300
"Djur,svensk,man",1860,,"Skånsk bondgård","Anders Kallenberg","Olja på duk","Mått 114 x 189 cm","NM 1308",1875,18311
"Djur, Scen,tysk,italiensk",1600,,Falkjakt,"Okänd (Konstnär), Bassanernas ateljé (Tidigare attribution)","Olja på duk","Mått 126 x 156 cm","NM 131",1600,17080
"Landskap,norsk,man",1860,,"Nödhamn i Lysekil","Nils Bjørnsen Møller","Olja på duk","Mått 119 x 171 cm","NM 1310",1874,18313
"Scen,norsk,man",1860,,"Fördjupad i studier","Eilif Peterssen","Olja på duk","Mått 54 x 71 cm","NM 1311",1874,18314
"Religion/Mytologi,svensk,man",1740,,"Danaë och guldregnet. Kopia efter Giovanno Battista Tiepolo.","Jonas Hoffman","Olja på duk","Mått 41 x 53 cm","NM 1312",1753,18315
"Porträtt,fransk,man",1740,"Lotta Sparre är klädd i narrkåpa, som Dårskapen, för en maskerad som Carl Gustaf Tessin anordnade i Berlin den 30 juni 1744 för att fira det kommande bröllopet mellan kronprins Adolf Fredrik och prinsessan Lovisa Ulrika. Porträttets beställare, Tessin, är avbildad som huvud på den stav modellen bär i handen. Ramens hörnornament är utformade med vardera tre tupphuvuden, som symboliserar de hovkavaljerer som uppvaktade Tessins systerdotter.","Charlotta Fredrika Sparre som La Folie","Antoine Pesne","Olja på duk","Mått 80 x 66 cm","NM 1313",1744,18316
"Religion/Mytologi,svensk,man",1860,"Jaktnymfen väckte stor uppmärksamhet när den ställdes ut på Nationalmuseum 1876. Motivet visar hur 1800-talets betraktare skolades in i ”den manliga blickens” tradition. Faunerna ser på den nakna kvinnofiguren som ett villebråd, utifrån smygtittarens perspektiv. Bredvid ligger ett annat jaktbyte, en död skogsfågel. August Strindberg som älskade målningen skrev i en samtida konstrecension: ”Fall ned och tillbed måleriets triumfator”.","Jaktnymf och fauner","Julius Kronberg","Olja på duk  
","Mått 269 x 130 cm","NM 1316",1875,18319
"Scen,norsk,man",1860,,Fanatikerna,"Adolph Tidemand","Olja på duk","Mått 136 x 178 cm","NM 1319",1866,18322
"Scen,svensk,man",1840,"Stämningen är dämpad. Någon argumenterar vid disken med ägaren till pantlånekontoret och en annan räknar pengarna efter att ha pantsatt sina ägodelar. I bakgrunden skymtar man bokhållaren i skum belysning. Kring 1800-talets mitt verkar den konstsamlande publiken inte ha kunnat få nog av sentimentala motiv från fattiga miljöer. Bland konstnärerna som ägnade sig åt sådana var Carl d’Unker speciell, eftersom han i bilder som denna eller scener ur väntsalar på tågstationer skildrade klassamhällets sidor.","Pantlånekontoret II","Carl d'Unker","Olja på duk","Mått 85 x 113 cm","NM 1320",1859,18323
"Scen,svensk,man",1860,,"Andra klassens väntsal","Carl d'Unker","Olja på duk","Mått 80 x 106 cm","NM 1321",1865,18324
"Scen,svensk,man",1860,,"Kyrkoråd. Motiv från Tyskland","Axel Kulle","Olja på duk","Mått 82 x 106 cm","NM 1329",1877,18332
"Landskap,norsk,man",1860,,Romsdalsfjorden,"Eilert Adelsteen Normann","Olja på duk","Mått 112 x 191 cm","NM 1331",1877,18334
